,ad_num,company,model,price,engine,year,hand,km,eng_kind,test,current_owner,prev_owner,צבע,gearbox,trader,area,sub_area,price_list,price_list_url
2466,98294565,סוזוקי, אלטו,17000.0,996.0,2014,1,200000,7,06/2023,0,,שחור,0,0,41,גני יוחנן,,https://www.yad2.co.il/price-list/sub-model/24318/2014
2467,79428137,פורד, מוסטנג MACH E,290000.0,,2022,2,15000,2,06/2023,0,0.0,שחור,0,0,41,נס ציונה,,https://www.yad2.co.il/price-list/sub-model/37638/2022
2468,78087765,ב.מ.וו, סדרה 2,128000.0,1499.0,2018,4,92000,7,06/2023,0,0.0,שחור,0,0,41,אשדוד,,https://www.yad2.co.il/price-list/sub-model/30179/2018
2469,88850351,סיאט, איביזה,20000.0,1598.0,2010,3,170000,7,06/2023,0,0.0,לבן,1,0,41,חצב,,https://www.yad2.co.il/price-list/sub-model/23867/2010
2470,51553794,סיאט, לאון,40000.0,1197.0,2016,2,158000,7,07/2023,0,0.0,אפור,0,0,41,קרית מלאכי,,https://www.yad2.co.il/price-list/sub-model/28733/2016
2471,55911386,פיג'ו, 3008,140000.0,1499.0,2021,1,42000,6,05/2024,0,0.0,לבן,0,0,41,שדרות,,https://www.yad2.co.il/price-list/sub-model/34618/2021
2472,52468206,קיה, נירו הייבריד,106000.0,1580.0,2017,1,75000,7,07/2023,0,0.0,שחור,0,0,41,רחובות,,https://www.yad2.co.il/price-list/sub-model/29359/2017
2473,97193363,סיאט, מי / MII,20000.0,999.0,2014,1,171000,7,07/2023,0,0.0,לבן,1,0,41,גלאון,,https://www.yad2.co.il/price-list/sub-model/26267/2014
2474,76276532,סוזוקי, SX4 קרוסאובר,46000.0,1586.0,2014,2,146500,7,06/2023,0,0.0,אפור,0,0,41,נס ציונה,,https://www.yad2.co.il/price-list/sub-model/26881/2014
2475,72780446,פיג'ו, 3008,72000.0,1560.0,2017,2,163000,6,10/2023,0,1.0,לבן,0,0,41,אשדוד,,https://www.yad2.co.il/price-list/sub-model/29494/2017
2476,67553801,אלפא רומיאו, ג'וליה,120000.0,1995.0,2019,2,76000,7,04/2024,0,0.0,לבן,0,0,41,אשדוד,,https://www.yad2.co.il/price-list/sub-model/30365/2019
2477,59995115,דייהטסו, סיריון,17000.0,1298.0,2008,4,140000,7,05/2024,0,2.0,בז',0,0,41,רחובות,,https://www.yad2.co.il/price-list/sub-model/15936/2008
2478,88468597,סיטרואן, C3,62000.0,1199.0,2018,1,45000,7,10/2023,0,2.0,כסוף,0,0,41,רחובות,,https://www.yad2.co.il/price-list/sub-model/29940/2018
2479,77902590,רנו, מגאן גראנד קופה,79999.0,1461.0,2020,2,110000,6,01/2024,0,0.0,לבן,0,0,41,אשקלון,,https://www.yad2.co.il/price-list/sub-model/32707/2020
2480,55637245,יונדאי, i30,19000.0,1975.0,2008,3,250000,7,01/2024,0,0.0,כחול,0,0,41,נס ציונה,,https://www.yad2.co.il/price-list/sub-model/21285/2008
2481,68022590,סוזוקי, סוויפט,102000.0,1197.0,2022,1,4500,7,11/2023,0,0.0,לבן,0,0,41,אשדוד,,https://www.yad2.co.il/price-list/sub-model/36115/2022
2482,71386509,מרצדס, S-Class,,2999.0,2022,1,50378,7,02/2024,0,0.0,לבן,0,0,41,בית שיקמה,,https://www.yad2.co.il/price-list/sub-model/35402/2022
2483,73981905,שברולט, ספארק,64500.0,1399.0,2021,2,20000,7,01/2024,0,1.0,לבן,0,0,41,אשקלון,,https://www.yad2.co.il/price-list/sub-model/32305/2021
2484,73981905,שברולט, ספארק,64500.0,1399.0,2021,2,20000,7,01/2024,0,1,לבן,0,0,41,אשקלון,,https://www.yad2.co.il/price-list/sub-model/32305/2021
2485,84944960,טויוטה, קורולה הייבריד,124900.0,1798.0,2021,1,38000,7,06/2025,0,1,שחור,0,0,41,אשקלון,,https://www.yad2.co.il/price-list/sub-model/32568/2021
2486,46572412,רנו, קפצ'ור,115000.0,1332.0,2021,1,32000,7,01/2024,0,1,לבן,0,0,41,"כפר הרי""ף",,https://www.yad2.co.il/price-list/sub-model/34584/2021
2487,77107213,סיטרואן, C3,14000.0,1598.0,2011,4,87000,7,01/2024,0,0,אפור,0,0,41,יבנה,,https://www.yad2.co.il/price-list/sub-model/25045/2011
2488,84959338,קיה, נירו הייבריד,73000.0,1580.0,2018,1,196000,7,03/2024,0,0,טורקיז,0,0,41,בני ראם,,https://www.yad2.co.il/price-list/sub-model/29359/2018
2489,61647105,יונדאי, i10,35000.0,998.0,2014,3,150000,7,06/2023,0,0,אדום,0,0,41,רחובות,,https://www.yad2.co.il/price-list/sub-model/27067/2014
2490,99023085,אאודי, A5,185000.0,1395.0,2019,1,121000,3,01/2024,0,0,לבן,0,0,41,רחובות,,https://www.yad2.co.il/price-list/sub-model/30747/2019
2491,97053945,טסלה, מודל 3,235000.0,,2022,1,3800,2,06/2024,0,0,שחור,0,0,41,אשקלון,,https://www.yad2.co.il/price-list/sub-model/38392/2022
2492,42510535,פיאט, 500,31000.0,1242.0,2014,3,48700,7,01/2024,0,0,שחור,3,0,41,רחובות,,https://www.yad2.co.il/price-list/sub-model/25715/2014
2493,65660134,אאודי, A3,105000.0,1395.0,2018,2,180000,3,01/2024,0,0,שחור,0,0,41,מועצה אזורית באר טוביה,,https://www.yad2.co.il/price-list/sub-model/30533/2018
2494,53746287,קיה, נירו הייבריד,91000.0,1580.0,2018,1,128000,7,03/2024,0,0,לבן,0,0,41,אשקלון,,https://www.yad2.co.il/price-list/sub-model/29359/2018
2495,47403562,ניסאן, סנטרה,78000.0,1798.0,2019,3,114500,7,04/2024,0,1,לבן,0,0,41,אמונים,,https://www.yad2.co.il/price-list/sub-model/32310/2019
2496,48503736,אאודי, S5,245000.0,2995.0,2018,1,100000,7,01/2024,0,1,אפור,0,0,41,אשדוד,,https://www.yad2.co.il/price-list/sub-model/29697/2018
2497,66090964,ב.מ.וו, סדרה 4,,1998.0,2016,3,92000,7,02/2024,0,0,כסוף,0,0,41,קרית מלאכי,,https://www.yad2.co.il/price-list/sub-model/27070/2016
2498,89502871,פיג'ו, 3008,,1499.0,2022,1,47000,6,01/2024,0,0,כחול,0,0,41,בית שיקמה,,https://www.yad2.co.il/price-list/sub-model/32346/2022
2499,98183739,שברולט, מאליבו,59000.0,1490.0,2017,1,159000,7,02/2024,0,0,לבן,0,0,41,גדרה,,https://www.yad2.co.il/price-list/sub-model/28582/2017
2500,94018912,טסלה, מודל 3,210000.0,,2021,1,47000,2,11/2023,0,0,לבן,0,0,41,קרית גת,,https://www.yad2.co.il/price-list/sub-model/35709/2021
2501,78538451,רנו, מגאן גראנד קופה,100000.0,1461.0,2021,1,80000,6,01/2024,0,0,שחור,0,0,41,קרית גת,,https://www.yad2.co.il/price-list/sub-model/32707/2021
2502,56779056,קיה, פיקנטו,65000.0,1248.0,2017,1,64000,7,10/2023,0,,כסף,0,0,41,נס ציונה,,https://www.yad2.co.il/price-list/sub-model/29903/2017
2503,75011870,קיה, נירו הייבריד,115000.0,1580.0,2019,1,70000,7,04/2024,0,,אפור,0,0,41,נען,,https://www.yad2.co.il/price-list/sub-model/29359/2019
2504,45896796,סקודה, אוקטביה,68000.0,1197.0,2016,1,123000,7,10/2023,0,,לבן,0,0,41,אשקלון,,https://www.yad2.co.il/price-list/sub-model/27814/2016
2505,63742345,טויוטה, C-HR,135000.0,1798.0,2021,1,26700,7,01/2024,0,,אפור,0,0,41,נס ציונה,,https://www.yad2.co.il/price-list/sub-model/29536/2021
2506,57906732,שברולט, קורבט,,6162.0,2022,1,3500,7,03/2024,0,,אפור,0,0,41,אשקלון,,https://www.yad2.co.il/price-list/sub-model/34237/2022
2507,66968252,טסלה, מודל Y,299000.0,,2023,1,1000,2,03/2024,0,,שחור,0,0,41,גן יבנה,,https://www.yad2.co.il/price-list/sub-model/37886/2023
2508,85697253,טויוטה, C-HR,116000.0,1798.0,2018,2,63000,7,05/2023,0,0.0,לבן,0,0,41,אשקלון,,https://www.yad2.co.il/price-list/sub-model/29536/2018
2509,59620051,יונדאי, איוניק,133000.0,1580.0,2021,1,19400,7,02/2024,0,0.0,לבן,0,0,41,יד מרדכי,,https://www.yad2.co.il/price-list/sub-model/33093/2021
2510,93201243,פורשה, פאנאמרה,470000.0,2894.0,2018,1,97500,3,06/2023,0,0.0,לבן,0,0,41,רחובות,,https://www.yad2.co.il/price-list/sub-model/30327/2018
2511,84912906,ניסאן, ג'וק / Juke,,999.0,2021,1,26000,7,10/2023,0,0.0,אפור,0,0,41,אשקלון,,https://www.yad2.co.il/price-list/sub-model/33666/2021
2512,99891810,סיטרואן, C3 פיקאסו,30000.0,1560.0,2016,2,200000,6,01/2024,0,0.0,כחול,0,0,41,אשקלון,,https://www.yad2.co.il/price-list/sub-model/26040/2016
2513,83479058,סובארו, B4,18000.0,1994.0,2009,4,225000,7,03/2024,0,0.0,כחול,0,0,41,אשקלון,,https://www.yad2.co.il/price-list/sub-model/21308/2009
2514,54872111,פורשה, 718 בוקסטר,450000.0,1988.0,2020,3,53000,7,02/2024,0,0.0,שחור,0,0,41,רחובות,,https://www.yad2.co.il/price-list/sub-model/35919/2020
