,ad_num,company,model,price,engine,year,hand,km,eng_kind,test,current_owner,prev_owner,color,gearbox,trader,area,sub_area,price_list,price0705,enc_company,enc_model,price1605,sold,car_kind
111,78839071.0,וולוו,XC60,291000.0,1969.0,2019,1,41500,3,11/2023,0.0,9.0,1,0.0,0,2,מודיעין מכבים רעות,263800.0,94100.0,22,32,224900.0,0,ג'יפים
112,48930148.0,טויוטה,לנד קרוזר ארוך,185000.0,2982.0,2010,3,280000,6,12/2023,0.0,0.0,2,0.0,0,2,מודיעין מכבים רעות,190400.0,185000.0,0,12,185000.0,0,ג'יפים
113,61270019.0,מאזדה,CX-5,82000.0,1998.0,2015,1,78900,7,04/2024,0.0,0.0,4,0.0,0,2,רמת גן,77200.0,-1.0,6,7,-1.0,1,ג'יפים
114,97046374.0,יונדאי,סנטה פה,193000.0,2359.0,2020,2,56000,7,01/2024,0.0,0.0,0,0.0,0,2,שוהם,201500.0,85000.0,1,51,-1.0,1,ג'יפים
116,54194926.0,פורד,אקספלורר,385000.0,3000.0,2023,1,6500,7,02/2026,0.0,0.0,2,0.0,0,2,תל אביב יפו,405200.0,-1.0,11,28,-1.0,1,ג'יפים
117,85024942.0,וולוו,XC60,299000.0,1969.0,2020,1,44000,3,07/2023,0.0,0.0,1,0.0,0,2,חולון,292800.0,299000.0,22,32,219000.0,0,ג'יפים
118,85525328.0,טויוטה,RAV4 הייבריד,161000.0,2487.0,2019,1,82000,7,01/2024,0.0,0.0,1,0.0,0,2,ראשון לציון,164600.0,-1.0,0,18,-1.0,1,ג'יפים
119,95535702.0,מיצובישי,ASX,118000.0,1998.0,2021,1,17000,7,05/2024,0.0,0.0,3,0.0,0,2,פתח תקווה,117200.0,120000.0,4,77,123000.0,0,משפחתיים
120,68009284.0,מיצובישי,אאוטלנדר,106000.0,1998.0,2018,3,130000,7,01/2024,3.0,0.0,0,0.0,0,2,ראש העין,126400.0,106000.0,4,0,118800.0,0,ג'יפים
121,53536082.0,מיצובישי,אקליפס קרוס,116000.0,1499.0,2020,1,53000,7,01/2024,0.0,0.0,1,0.0,0,2,פתח תקווה,121200.0,105000.0,4,48,-1.0,1,משפחתיים
122,47726557.0,מאזדה,CX-30,125000.0,1998.0,2020,2,30000,7,02/2024,0.0,1.0,2,0.0,0,2,גבעתיים,122900.0,125000.0,6,240,96000.0,0,משפחתיים
123,64429081.0,מיצובישי,אקליפס קרוס,102900.0,1499.0,2018,2,43000,7,08/2023,0.0,1.0,3,0.0,0,2,תל אביב יפו,106800.0,-1.0,4,48,-1.0,1,משפחתיים
124,61726004.0,ג'נסיס,GV60,395770.0,0.0,2022,2,9500,2,11/2023,0.0,9.0,1,0.0,0,2,ראשון לציון,349800.0,438770.0,38,324,438770.0,0,ג'יפים
125,78989636.0,ג'יפ / Jeep,גרנד צ'ירוקי,215000.0,3604.0,2019,1,86000,7,10/2023,0.0,9.0,0,0.0,0,2,ראש העין,244800.0,215000.0,16,9,275000.0,0,ג'יפים
127,63230813.0,פורד,אקספלורר,133500.0,3497.0,2015,2,139000,7,09/2023,0.0,0.0,0,0.0,0,2,תל אביב יפו,134900.0,-1.0,11,28,-1.0,1,ג'יפים
128,59318165.0,ניסאן,קשקאי,57000.0,1197.0,2015,3,101000,7,04/2024,0.0,0.0,0,0.0,0,2,באר יעקב,58400.0,115000.0,5,3,59500.0,0,משפחתיים
130,57446392.0,לקסוס,NX,149000.0,1998.0,2018,2,125000,7,04/2024,0.0,0.0,0,0.0,0,2,פתח תקווה,151000.0,149000.0,25,134,169900.0,0,ג'יפים
131,73084575.0,פיג'ו,2008,93000.0,1199.0,2020,1,65000,7,08/2023,0.0,0.0,0,0.0,0,2,כפר קאסם,88100.0,93000.0,14,76,104999.0,0,משפחתיים
132,89572888.0,קאדילק,XT4,189000.0,1977.0,2019,1,42000,7,08/2023,0.0,0.0,0,0.0,0,2,פתח תקווה,179700.0,189000.0,31,297,175900.0,0,ג'יפים
