,ad_num,company,model,price,engine,year,hand,km,eng_kind,test,current_owner,prev_owner,color,gearbox,trader,area,sub_area,price_list,price0705,enc_company,enc_model,price1605,sold,car_kind
921,92447843.0,יונדאי,טוסון,96000.0,1999.0,2016,2,70000,7,08/2023,0.0,0.0,2,0.0,0,19,כפר יונה,90300.0,80000.0,1,1,94500.0,0,ג'יפים
922,57987191.0,סוזוקי,גרנד ויטרה,40900.0,1995.0,2008,3,190000,7,09/2023,0.0,0.0,0,0.0,0,19,הוד השרון,39500.0,40900.0,12,44,-1.0,1,ג'יפים
923,75170651.0,ניסאן,קשקאי פלוס 2,37200.0,1997.0,2013,2,265649,7,04/2024,0.0,0.0,1,0.0,0,19,כפר סבא,55200.0,46000.0,5,180,60000.0,0,מיניוואנים
924,77541267.0,מיצובישי,אקליפס קרוס,131500.0,1499.0,2020,1,37500,7,02/2024,0.0,0.0,0,0.0,0,19,הוד השרון,121200.0,104000.0,4,48,-1.0,1,משפחתיים
925,54308967.0,אם. ג'י. / MG,EHS PHEV,158000.0,1490.0,2022,1,21000,3,07/2023,0.0,0.0,1,0.0,0,19,כפר סבא,-1.0,158000.0,28,71,158000.0,0,משפחתיים
926,47573218.0,ג'יפ / Jeep,גרנד צ'ירוקי,185000.0,3604.0,2018,1,107000,7,08/2023,0.0,0.0,0,0.0,0,19,נתניה,170500.0,179000.0,16,9,224888.0,0,ג'יפים
927,54544028.0,פורד,אקספלורר,120000.0,3497.0,2014,1,117200,7,08/2023,0.0,0.0,0,0.0,0,19,רמת השרון,117600.0,25000.0,11,28,120000.0,0,ג'יפים
928,53004505.0,מיצובישי,אאוטלנדר,100000.0,1998.0,2016,2,113000,7,04/2024,0.0,0.0,1,0.0,0,19,נתניה,105400.0,107000.0,4,0,87000.0,0,ג'יפים
929,68580161.0,סקודה,קודיאק,140000.0,1968.0,2018,2,94000,6,11/2023,0.0,0.0,0,0.0,0,19,אבן יהודה,139400.0,145000.0,3,4,144000.0,0,מיניוואנים
930,91133254.0,האמר,H2,365000.0,5998.0,2006,1,147800,7,10/2023,0.0,0.0,14,0.0,0,19,קדימה צורן,-1.0,365000.0,40,316,-1.0,0,ג'יפים
931,71221468.0,מיצובישי,אאוטלנדר,92000.0,1998.0,2017,1,156000,7,09/2023,0.0,0.0,0,0.0,0,19,צופית,102500.0,79999.0,4,0,114000.0,0,ג'יפים
932,91891345.0,מיצובישי,אאוטלנדר,97000.0,1998.0,2016,2,88000,7,09/2023,0.0,0.0,0,0.0,0,19,הוד השרון,92800.0,85000.0,4,0,77000.0,0,ג'יפים
933,89899410.0,טויוטה,לנד קרוזר ארוך,190000.0,2982.0,2010,2,197000,6,11/2023,0.0,0.0,2,0.0,0,19,עין שריד,183600.0,185000.0,0,12,149900.0,0,ג'יפים
935,73463691.0,מיצובישי,ASX,82000.0,1998.0,2018,2,127500,7,03/2024,0.0,0.0,12,0.0,0,19,רמת השרון,93400.0,77500.0,4,77,78800.0,0,משפחתיים
936,71665986.0,פולקסווגן,טיגואן,152500.0,1984.0,2020,1,102000,7,01/2024,0.0,9.0,0,0.0,0,19,בני ציון,140700.0,139500.0,13,56,139500.0,0,ג'יפים
937,69699116.0,ג'יפ / Jeep,קומפאס,134000.0,1368.0,2018,2,68000,7,10/2024,0.0,0.0,2,0.0,0,19,כפר יונה,118800.0,129200.0,16,142,-1.0,1,ג'יפים
939,96997808.0,וולוו,XC40,152000.0,1969.0,2018,1,85000,7,08/2023,0.0,0.0,0,0.0,0,19,ביתן אהרן,124200.0,-1.0,22,161,-1.0,1,ג'יפים
940,45469666.0,ניסאן,קשקאי,109000.0,1197.0,2018,1,46500,7,10/2023,0.0,0.0,0,0.0,0,19,כפר סבא,97600.0,75000.0,5,3,110000.0,0,משפחתיים
941,77751114.0,טויוטה,RAV4 הייבריד,145000.0,2494.0,2017,1,99000,7,03/2024,0.0,0.0,1,0.0,0,19,הוד השרון,130600.0,140000.0,0,18,120000.0,0,ג'יפים
942,41410581.0,ב.מ.וו,iX3,349000.0,0.0,2021,1,9500,2,11/2023,0.0,0.0,0,0.0,0,19,נתניה,331600.0,339000.0,9,312,345000.0,0,יוקרה
944,93433437.0,מיצובישי,אאוטלנדר,117000.0,1998.0,2017,1,78000,7,11/2023,0.0,0.0,0,0.0,0,19,הרצליה,103800.0,-1.0,4,0,-1.0,1,ג'יפים
945,83662043.0,טויוטה,RAV4 הייבריד,160000.0,2487.0,2019,2,118000,7,01/2024,0.0,0.0,0,0.0,0,19,כוכב יאיר / צור יגאל,164600.0,158000.0,0,18,180000.0,0,ג'יפים
946,67492850.0,סקודה,קארוק,107000.0,999.0,2018,1,39000,7,10/2023,0.0,0.0,0,0.0,0,19,הרצליה,95900.0,84900.0,3,65,84000.0,0,משפחתיים
947,75780229.0,ניסאן,אקס טרייל,159000.0,1749.0,2020,1,78000,6,06/2023,0.0,0.0,0,0.0,0,19,יד חנה,162200.0,170000.0,5,8,145000.0,0,מיניוואנים
948,85481021.0,קופרה,פורמנטור,180000.0,1498.0,2022,1,20000,7,03/2024,0.0,0.0,2,0.0,0,19,עין החורש,173600.0,-1.0,33,94,-1.0,1,ג'יפים
949,42576990.0,טויוטה,RAV4 הייבריד,190000.0,2487.0,2019,2,105000,7,02/2024,0.0,0.0,0,0.0,0,19,קלנסווה,186200.0,188000.0,0,18,152800.0,0,ג'יפים
950,73590740.0,יונדאי,קונה,114000.0,1591.0,2020,1,43000,7,05/2023,0.0,0.0,1,0.0,0,19,נתניה,106400.0,114000.0,1,98,92500.0,0,משפחתיים
951,76125269.0,סקודה,קודיאק,209900.0,1984.0,2021,1,39000,7,01/2024,0.0,0.0,2,0.0,0,19,הרצליה,246900.0,156000.0,3,4,180000.0,0,מיניוואנים
952,68700443.0,מיצובישי,אאוטלנדר,68000.0,1998.0,2014,2,131800,7,12/2023,0.0,0.0,0,0.0,0,19,כפר יונה,72000.0,85000.0,4,0,69000.0,0,ג'יפים
953,79515922.0,פורד,קוגה,53000.0,1596.0,2014,1,117000,7,09/2023,0.0,0.0,3,0.0,0,19,הרצליה,47000.0,-1.0,11,97,-1.0,1,ג'יפים
954,57318020.0,יונדאי,טוסון,125000.0,1999.0,2018,1,35000,7,04/2023,0.0,9.0,2,0.0,0,19,בני ציון,112200.0,119900.0,1,1,-1.0,1,ג'יפים
956,61870353.0,פורשה,קאיין,173000.0,3598.0,2015,1,88000,7,01/2024,0.0,0.0,0,0.0,0,19,נתניה,185800.0,173000.0,32,160,-1.0,1,ספורט
957,52782157.0,מאזדה,CX-5,90000.0,1998.0,2017,1,116000,7,01/2024,0.0,0.0,1,0.0,0,19,נתניה,102400.0,90000.0,6,7,104000.0,0,ג'יפים
958,89763587.0,ניסאן,קשקאי,119900.0,1332.0,2019,1,44300,7,04/2024,0.0,0.0,0,0.0,0,19,רמת השרון,120600.0,-1.0,5,3,-1.0,1,משפחתיים
960,49757809.0,פורד,אקספלורר,159000.0,3497.0,2018,2,95000,7,02/2024,0.0,0.0,1,0.0,0,19,נתניה,178200.0,376000.0,11,28,-1.0,1,ג'יפים
962,42586425.0,טויוטה,RAV4 הייבריד,182000.0,2487.0,2022,1,33000,7,04/2025,0.0,6.0,2,0.0,0,19,הרצליה,218400.0,-1.0,0,18,-1.0,1,ג'יפים
963,95708433.0,ניסאן,קשקאי,110000.0,1197.0,2018,1,90000,7,01/2024,0.0,6.0,0,0.0,0,19,נתניה,97600.0,91000.0,5,3,89900.0,0,משפחתיים
964,65178183.0,לנד רובר,דיסקברי ספורט,295000.0,1997.0,2021,1,23000,7,01/2024,0.0,6.0,0,0.0,0,19,משמרת,286000.0,292000.0,27,152,-1.0,1,ג'יפים
965,87379342.0,קיה,ספורטז',110000.0,1999.0,2019,1,73000,7,06/2023,0.0,6.0,3,0.0,0,19,כפר סבא,113200.0,110000.0,2,2,-1.0,1,משפחתיים
966,46341863.0,פורד,אקספלורר,250000.0,2261.0,2020,1,56000,7,09/2023,0.0,6.0,6,0.0,0,19,ביתן אהרן,254800.0,199000.0,11,28,207800.0,0,ג'יפים
967,97404553.0,סקודה,קודיאק,205000.0,1984.0,2021,1,20000,7,09/2023,0.0,6.0,0,0.0,0,19,טירה,215400.0,200000.0,3,4,170000.0,0,מיניוואנים
968,64549077.0,יונדאי,טוסון,90000.0,1999.0,2016,1,150000,7,08/2023,0.0,6.0,0,0.0,0,19,בת חפר,91600.0,90000.0,1,1,105000.0,0,ג'יפים
969,82229967.0,שברולט,טראקס,54000.0,1364.0,2016,2,118000,7,02/2024,0.0,0.0,3,0.0,0,19,רשפון,52300.0,-1.0,8,100,-1.0,1,משפחתיים
970,73941528.0,אאודי,Q5,95000.0,1984.0,2014,2,112000,7,01/2024,0.0,0.0,1,0.0,0,19,נתניה,93000.0,84990.0,10,78,99000.0,0,ג'יפים
973,46135417.0,טויוטה,לנד קרוזר ארוך,190000.0,2982.0,2010,3,258000,6,07/2023,0.0,0.0,3,0.0,0,19,נתניה,199900.0,180000.0,0,12,155000.0,0,ג'יפים
974,52804550.0,קאדילק,XT5,210000.0,3649.0,2019,1,26400,7,01/2024,0.0,0.0,2,0.0,0,19,נתניה,192500.0,205000.0,31,84,235000.0,0,ג'יפים
975,78397910.0,מאזדה,CX-5,133000.0,1998.0,2018,1,52000,7,05/2023,0.0,0.0,1,0.0,0,19,פרדסיה,119300.0,130000.0,6,7,125000.0,0,ג'יפים
976,63539716.0,סקודה,קודיאק,149000.0,1968.0,2018,1,82000,6,10/2023,0.0,0.0,3,0.0,0,19,כפר הס,155300.0,117000.0,3,4,-1.0,1,מיניוואנים
977,45450304.0,מיצובישי,אאוטלנדר,142500.0,1998.0,2020,1,46000,7,01/2024,0.0,0.0,0,0.0,0,19,כפר סבא,152100.0,129900.0,4,0,131270.0,0,ג'יפים
978,77872702.0,פורד,קוגה,72000.0,1498.0,2018,1,107000,7,12/2023,0.0,0.0,0,0.0,0,19,רעננה,77600.0,-1.0,11,97,-1.0,1,ג'יפים
979,54740905.0,ניסאן,קשקאי,150000.0,1332.0,2021,1,27000,7,03/2024,0.0,0.0,0,0.0,0,19,נתניה,140400.0,76000.0,5,3,165000.0,0,משפחתיים
980,45994270.0,יונדאי,טוסון,139000.0,1999.0,2020,1,29000,7,07/2023,0.0,0.0,3,0.0,0,19,נתניה,147200.0,139000.0,1,1,120000.0,0,ג'יפים
981,71116410.0,די.אס / DS,DS7 Crossback / קרוסבק,195000.0,1997.0,2020,1,41500,6,01/2024,0.0,0.0,1,0.0,0,19,נתניה,200000.0,177900.0,47,310,177900.0,0,יוקרה
982,69305222.0,מיצובישי,אאוטלנדר,158000.0,1998.0,2020,2,37000,7,03/2024,0.0,0.0,1,0.0,0,19,קדימה צורן,152100.0,94900.0,4,0,131900.0,0,ג'יפים
983,77836247.0,ניסאן,אקס טרייל,135000.0,1995.0,2018,1,97000,6,05/2023,0.0,0.0,1,0.0,0,19,רעננה,136900.0,-1.0,5,8,-1.0,1,מיניוואנים
984,51756357.0,ב.מ.וו,X3,90000.0,1995.0,2015,1,299000,6,04/2023,0.0,0.0,0,0.0,0,19,הרצליה,97300.0,90000.0,9,49,128900.0,0,ג'יפים
985,86639576.0,ניסאן,אקס טרייל,115000.0,1598.0,2018,1,58000,6,05/2023,0.0,0.0,0,0.0,0,19,הוד השרון,111300.0,-1.0,5,8,-1.0,1,מיניוואנים
986,72024044.0,מיצובישי,אאוטלנדר,91500.0,1998.0,2016,1,150670,7,05/2023,0.0,0.0,2,0.0,0,19,כפר סבא,94900.0,137000.0,4,0,91000.0,0,ג'יפים
987,43194760.0,קיה,ספורטז',71000.0,1998.0,2015,3,75000,7,06/2023,0.0,0.0,2,0.0,0,19,כפר סבא,77100.0,78000.0,2,2,-1.0,1,משפחתיים
988,71765705.0,מיצובישי,אקליפס קרוס,98000.0,1499.0,2018,2,61000,7,05/2023,0.0,0.0,2,0.0,0,19,אבן יהודה,95000.0,-1.0,4,48,-1.0,1,משפחתיים
989,96498792.0,לנד רובר,דיפנדר,155000.0,2495.0,1997,5,357000,6,05/2023,0.0,0.0,2,1.0,0,19,נתניה,8000.0,-1.0,27,309,-1.0,1,ג'יפים
990,95976366.0,מאזדה,CX-5,117000.0,1998.0,2018,1,52000,7,12/2023,0.0,9.0,0,0.0,0,19,קדימה צורן,113300.0,-1.0,6,7,-1.0,1,ג'יפים
991,76388620.0,אאודי,Q3,215000.0,1498.0,2021,2,40000,7,01/2024,0.0,0.0,1,0.0,0,19,נתניה,217500.0,215000.0,10,21,218000.0,0,ג'יפים
992,76860936.0,ניסאן,קשקאי,65000.0,1197.0,2016,2,130000,7,03/2024,0.0,0.0,0,0.0,0,19,מכמורת,69500.0,84000.0,5,3,-1.0,1,משפחתיים
993,78134648.0,סקודה,קודיאק,197000.0,1968.0,2020,1,98000,6,08/2023,0.0,0.0,2,0.0,0,19,בית חרות,198800.0,-1.0,3,4,-1.0,1,מיניוואנים
994,96184582.0,יונדאי,טוסון,72000.0,1591.0,2016,2,110000,7,02/2024,0.0,0.0,0,0.0,0,19,כפר יונה,78600.0,-1.0,1,1,-1.0,1,ג'יפים
995,46964731.0,קיה,ספורטז',112000.0,1999.0,2019,2,31000,7,07/2023,0.0,1.0,2,0.0,0,19,רעננה,113200.0,107000.0,2,2,99000.0,0,משפחתיים
996,54203973.0,סקודה,קודיאק,175000.0,1498.0,2020,2,75800,7,01/2024,0.0,2.0,2,0.0,0,19,אבן יהודה,178300.0,-1.0,3,4,-1.0,1,מיניוואנים
997,66820871.0,סיאט,אטקה,99000.0,1395.0,2018,1,92000,7,02/2024,0.0,2.0,3,0.0,0,19,קדימה צורן,103000.0,96000.0,15,114,-1.0,1,משפחתיים
998,47816453.0,מאזדה,CX-5,62000.0,1998.0,2013,1,136500,7,05/2023,0.0,2.0,3,0.0,0,19,נתניה,63500.0,-1.0,6,7,-1.0,1,ג'יפים
999,86867279.0,יונדאי,טוסון,93000.0,1999.0,2016,3,134000,7,08/2023,0.0,0.0,2,0.0,0,19,הרצליה,92900.0,92000.0,1,1,82000.0,0,ג'יפים
1000,89636717.0,סקודה,קודיאק,149555.0,1984.0,2017,2,140000,7,08/2023,0.0,0.0,2,0.0,0,19,כפר סבא,150500.0,129000.0,3,4,129000.0,0,מיניוואנים
1001,62851680.0,סוזוקי,ג'ימני,29000.0,1328.0,2005,3,250000,7,04/2023,0.0,0.0,8,0.0,0,19,רעננה,32400.0,29000.0,12,47,29000.0,0,ג'יפים
1002,76482994.0,פולקסווגן,טיגואן,102500.0,1395.0,2017,3,86000,7,06/2023,0.0,0.0,0,0.0,0,19,צור יצחק,110300.0,112000.0,13,56,107000.0,0,ג'יפים
1003,52929527.0,מאזדה,CX-5,125000.0,1998.0,2018,1,75000,7,06/2023,0.0,0.0,5,0.0,0,19,שדה ורבורג,135200.0,125000.0,6,7,135000.0,0,ג'יפים
1006,65505454.0,פולקסווגן,טיגואן,143000.0,1498.0,2020,1,44000,7,01/2024,0.0,0.0,1,0.0,0,19,נתניה,160400.0,152500.0,13,56,143000.0,0,ג'יפים
1007,59038144.0,לקסוס,RX300,260000.0,1998.0,2021,1,41000,7,03/2024,0.0,0.0,1,0.0,0,19,נתניה,271200.0,258000.0,25,167,258000.0,0,ג'יפים
1008,45469541.0,אאודי,Q5,95000.0,1984.0,2014,1,87300,7,02/2024,0.0,9.0,0,0.0,0,19,הוד השרון,93000.0,-1.0,10,78,-1.0,1,ג'יפים
1009,64531853.0,ניסאן,קשקאי,72000.0,1197.0,2016,3,128105,7,02/2024,0.0,0.0,4,0.0,0,19,הרצליה,73800.0,99000.0,5,3,73000.0,0,משפחתיים
1010,77927887.0,מיצובישי,אאוטלנדר,98000.0,1998.0,2016,3,99000,7,01/2024,0.0,0.0,0,0.0,0,19,טייבה,105400.0,106000.0,4,0,100000.0,0,ג'יפים
1011,94878522.0,סקודה,קודיאק,231100.0,1984.0,2022,1,25000,7,08/2023,0.0,0.0,2,0.0,0,19,נתניה,282500.0,-1.0,3,4,-1.0,1,מיניוואנים
1012,71728889.0,רנו,קדגא'ר,98000.0,1461.0,2019,2,92500,6,04/2024,0.0,1.0,0,0.0,0,19,הרצליה,83800.0,-1.0,19,176,-1.0,1,משפחתיים
1013,43358818.0,יונדאי,קונה,118000.0,1591.0,2020,1,18950,7,11/2023,0.0,1.0,0,0.0,0,19,הוד השרון,115500.0,-1.0,1,98,-1.0,1,משפחתיים
1014,97153409.0,ניסאן,קשקאי,40000.0,1997.0,2012,2,160000,7,04/2024,0.0,0.0,2,0.0,0,19,עין ורד,37600.0,99000.0,5,3,41000.0,0,משפחתיים
1015,97282023.0,פולקסווגן,טוארג,35000.0,3597.0,2007,2,225000,7,07/2023,0.0,0.0,2,0.0,0,19,נתניה,36500.0,35000.0,13,198,35000.0,0,ג'יפים
1017,56840128.0,ב.מ.וו,X5,309000.0,1997.0,2019,1,56000,3,04/2023,0.0,0.0,2,0.0,0,19,כפר שמריהו,294000.0,-1.0,9,57,-1.0,1,ג'יפים
1019,87127508.0,סקודה,קודיאק,129800.0,1395.0,2017,2,90000,7,08/2023,0.0,9.0,1,0.0,0,19,רמת השרון,135500.0,-1.0,3,4,-1.0,1,מיניוואנים
1021,57839177.0,יונדאי,קונה,99000.0,1591.0,2020,2,48000,7,03/2024,0.0,0.0,10,0.0,0,19,תל מונד,106200.0,99000.0,1,98,107000.0,0,משפחתיים
1022,53224402.0,מאזדה,CX-5,122000.0,1998.0,2018,2,54000,7,06/2023,0.0,2.0,0,0.0,0,19,נתניה,132600.0,121000.0,6,7,110000.0,0,ג'יפים
1023,61523156.0,לנד רובר,דיסקברי 3,70000.0,2720.0,2006,5,315000,6,11/2023,0.0,0.0,2,0.0,0,19,אלישמע,63400.0,70000.0,27,308,70000.0,0,ג'יפים
1024,75533303.0,יונדאי,קונה,115000.0,1591.0,2020,1,44950,7,05/2024,0.0,0.0,2,0.0,0,19,הרצליה,115500.0,109000.0,1,98,110000.0,0,משפחתיים
1025,77475136.0,ניסאן,אקס טרייל,142000.0,1995.0,2018,2,82000,6,06/2023,0.0,0.0,0,0.0,0,19,הוד השרון,136900.0,142000.0,5,8,-1.0,1,מיניוואנים
1026,62910739.0,וולוו,XC60,204000.0,1969.0,2020,1,25000,7,02/2024,0.0,9.0,2,0.0,0,19,רמת השרון,179000.0,299000.0,22,32,295000.0,0,ג'יפים
1027,86949678.0,סקודה,קודיאק,178000.0,1498.0,2022,1,22000,7,02/2025,0.0,9.0,2,0.0,0,19,נתניה,196400.0,229000.0,3,4,201000.0,0,מיניוואנים
1028,77906607.0,שברולט,בלייזר (2019 ואילך),233000.0,1997.0,2021,1,37000,7,01/2024,0.0,9.0,2,0.0,0,19,הוד השרון,231700.0,223004.0,8,238,223004.0,0,ג'יפים
1030,63401292.0,מאזדה,CX-3,133000.0,1496.0,2022,1,5400,7,09/2023,0.0,0.0,4,0.0,0,19,כפר סבא,110500.0,133000.0,6,154,133000.0,0,משפחתיים
1031,84407353.0,אלפא רומיאו,סטלויו,204000.0,1995.0,2021,1,57000,7,01/2024,0.0,0.0,0,0.0,0,19,רמת השרון,241900.0,230000.0,26,75,230000.0,0,ג'יפים
1032,73123736.0,ג'יפ / Jeep,גרנד צ'ירוקי (עד 2004),82000.0,5216.0,1997,4,196000,7,06/2023,0.0,0.0,2,0.0,0,19,רעננה,10200.0,82000.0,16,395,-1.0,1,ג'יפים
1033,62266561.0,פורד,קוגה,64000.0,1498.0,2016,1,83000,7,01/2024,0.0,0.0,3,0.0,0,19,הוד השרון,66200.0,67000.0,11,97,47000.0,0,ג'יפים
1034,65451785.0,סוזוקי,ויטרה,81900.0,1586.0,2017,1,99000,7,01/2024,0.0,0.0,0,0.0,0,19,הרצליה,77200.0,-1.0,12,36,-1.0,1,משפחתיים
1036,77255774.0,סובארו,פורסטר,117000.0,1995.0,2018,1,128000,7,11/2023,0.0,0.0,0,0.0,0,19,כוכב יאיר / צור יגאל,112500.0,-1.0,18,16,-1.0,1,ג'יפים
1037,54641894.0,מיצובישי,ASX,92000.0,1998.0,2018,2,23500,7,01/2024,0.0,0.0,0,0.0,0,19,כפר סבא,93500.0,96000.0,4,77,85000.0,0,משפחתיים
1038,94156250.0,ניסאן,קשקאי,130000.0,1497.0,2019,1,50000,7,02/2024,0.0,0.0,3,0.0,0,19,צור משה,113100.0,32000.0,5,3,107000.0,0,משפחתיים
1039,63104825.0,שברולט,טראוורס,65000.0,3564.0,2014,3,125000,7,02/2024,0.0,1.0,0,0.0,0,19,פרדסיה,70500.0,265000.0,8,33,79900.0,0,מיניוואנים
1040,98479555.0,דאצ'יה,דאסטר החדש,110000.0,1332.0,2021,1,16000,7,02/2024,0.0,1.0,0,1.0,0,19,הרצליה,97400.0,98000.0,29,193,-1.0,1,משפחתיים
1041,82117798.0,וולוו,XC90,280000.0,1969.0,2018,1,139000,3,10/2023,0.0,1.0,1,0.0,0,19,כפר ויתקין,286200.0,249000.0,22,124,249000.0,0,ג'יפים
1042,99071409.0,קאדילק,SRX,79000.0,3564.0,2014,2,99000,7,03/2024,0.0,0.0,8,0.0,0,19,הרצליה,89300.0,79000.0,31,320,69900.0,0,ג'יפים
1043,89889585.0,יונדאי,טוסון,123500.0,1999.0,2019,1,32250,7,05/2024,0.0,0.0,2,0.0,0,19,נתניה,116100.0,118000.0,1,1,116100.0,0,ג'יפים
1044,91551045.0,סקודה,קודיאק,140000.0,1968.0,2018,2,103000,6,10/2023,0.0,0.0,0,0.0,0,19,נתניה,155300.0,159000.0,3,4,164900.0,0,מיניוואנים
1045,69356273.0,מיצובישי,פג'רו קצר,90000.0,3200.0,2008,3,196100,6,01/2024,0.0,0.0,3,0.0,0,19,טייבה,87500.0,83000.0,4,181,78000.0,0,ג'יפים
1046,74595772.0,טויוטה,RAV4 הייבריד,149000.0,2494.0,2018,2,55000,7,01/2024,0.0,0.0,0,0.0,0,19,הרצליה,142300.0,149000.0,0,18,-1.0,1,ג'יפים
1051,92016974.0,סובארו,פורסטר,83000.0,1995.0,2017,1,172000,7,10/2023,0.0,0.0,1,0.0,0,19,קדימה צורן,102200.0,103000.0,18,16,78960.0,0,ג'יפים
1052,51205838.0,האמר,H3,78000.0,3460.0,2006,2,320000,7,12/2023,0.0,3.0,9,0.0,0,19,נתניה,80600.0,78000.0,40,306,-1.0,1,ג'יפים
1053,55633440.0,מאזדה,CX-5,130000.0,1998.0,2018,2,53000,7,04/2023,0.0,0.0,1,0.0,0,19,הרצליה,132600.0,-1.0,6,7,-1.0,1,ג'יפים
1054,92600007.0,מאזדה,CX-3,100000.0,1998.0,2018,2,46000,7,04/2024,0.0,0.0,0,0.0,0,19,הוד השרון,98900.0,95000.0,6,154,-1.0,1,משפחתיים
1055,56415627.0,הונדה,HR-V,89000.0,1498.0,2019,1,108000,7,02/2024,0.0,0.0,2,0.0,0,19,רעננה,95200.0,84900.0,17,104,69000.0,0,ג'יפים
1056,78039503.0,פולקסווגן,טיגואן,185000.0,1498.0,2021,1,28000,7,06/2023,0.0,0.0,9,0.0,0,19,נתניה,163300.0,232000.0,13,56,219900.0,0,ג'יפים
1057,88314667.0,יונדאי,טוסון,120500.0,1591.0,2018,1,78000,7,11/2023,0.0,0.0,0,0.0,0,19,עין ורד,112500.0,89000.0,1,1,113000.0,0,ג'יפים
1058,92121323.0,סובארו,פורסטר,170000.0,2498.0,2021,1,45027,7,11/2023,0.0,0.0,2,0.0,0,19,אבן יהודה,181300.0,-1.0,18,16,-1.0,1,ג'יפים
1059,48086944.0,מיצובישי,אאוטלנדר,71500.0,1998.0,2015,1,181000,7,01/2024,0.0,0.0,1,0.0,0,19,רמת השרון,85900.0,-1.0,4,0,-1.0,1,ג'יפים
1060,74820972.0,יונדאי,טוסון,105000.0,1999.0,2018,2,30000,7,04/2024,0.0,0.0,1,0.0,0,19,הרצליה,104800.0,95000.0,1,1,90000.0,0,ג'יפים
1061,62138841.0,קיה,ספורטז',59500.0,1591.0,2015,3,109000,7,06/2023,0.0,0.0,15,0.0,0,19,כפר סבא,65300.0,55000.0,2,2,59900.0,0,משפחתיים
1062,46351782.0,מיצובישי,אאוטלנדר,87500.0,1998.0,2015,1,159000,7,09/2023,0.0,9.0,2,0.0,0,19,אבן יהודה,85900.0,69900.0,4,0,-1.0,1,ג'יפים
1063,43232682.0,לקסוס,RX450H,200000.0,3456.0,2015,1,31700,7,05/2024,0.0,9.0,0,0.0,0,19,הרצליה,125700.0,200000.0,25,136,200000.0,0,ג'יפים
1064,57355463.0,ניסאן,קשקאי,90000.0,1598.0,2018,1,98000,6,02/2024,0.0,9.0,2,0.0,0,19,גאולים,94700.0,90000.0,5,3,-1.0,1,משפחתיים
1065,86273981.0,אינפיניטי,QX70 / FX37,142000.0,3696.0,2015,1,122000,7,07/2023,0.0,9.0,2,0.0,0,19,תל מונד,132500.0,-1.0,37,295,-1.0,1,ג'יפים
1066,58019141.0,שברולט,טראוורס,212000.0,3564.0,2020,1,41000,7,07/2023,0.0,9.0,0,0.0,0,19,כפר סבא,206900.0,171000.0,8,33,184400.0,0,מיניוואנים
1067,43654347.0,אינפיניטי,QX70 / FX37,148000.0,3696.0,2017,1,125000,7,09/2024,0.0,9.0,0,0.0,0,19,רעננה,147900.0,149900.0,37,295,-1.0,0,ג'יפים
1068,51653374.0,ניסאן,קשקאי,82000.0,1197.0,2017,2,57000,7,08/2023,0.0,0.0,0,0.0,0,19,תל מונד,79800.0,95900.0,5,3,-1.0,1,משפחתיים
1069,62728687.0,ג'יפ / Jeep,קומפאס,185000.0,1332.0,2022,1,6800,7,07/2023,0.0,0.0,2,0.0,0,19,הרצליה,178900.0,185000.0,16,142,279000.0,0,ג'יפים
1070,77257534.0,סוזוקי,ג'ימני,124000.0,1462.0,2020,1,29000,7,05/2024,0.0,0.0,0,1.0,0,19,רעננה,119100.0,124000.0,12,47,99900.0,0,ג'יפים
1072,68000546.0,יונדאי,טוסון,94000.0,1999.0,2016,1,65000,7,05/2024,0.0,0.0,0,0.0,0,19,הוד השרון,90300.0,-1.0,1,1,-1.0,1,ג'יפים
1073,89461036.0,סקודה,קודיאק,160000.0,1498.0,2020,1,91000,7,11/2023,0.0,0.0,3,0.0,0,19,כפר יונה,154600.0,193000.0,3,4,178000.0,0,מיניוואנים
1074,91520564.0,סקודה,קודיאק,158000.0,1984.0,2020,1,95000,7,10/2023,0.0,0.0,1,0.0,0,19,חרות,188400.0,-1.0,3,4,-1.0,1,מיניוואנים
1076,89545599.0,אאודי,Q7,340000.0,2967.0,2019,2,90000,6,05/2023,0.0,0.0,3,0.0,0,19,הרצליה,406100.0,120000.0,10,62,300000.0,0,ג'יפים
1077,67341234.0,מאזדה,CX-5,98000.0,1998.0,2017,1,107000,7,01/2024,0.0,0.0,4,0.0,0,19,הרצליה,102400.0,97000.0,6,7,105000.0,0,ג'יפים
1078,88560878.0,טויוטה,לנד קרוזר ארוך,209000.0,2982.0,2011,1,173000,6,10/2023,0.0,0.0,0,0.0,0,19,הוד השרון,208200.0,189000.0,0,12,208000.0,0,ג'יפים
1079,57252440.0,מיצובישי,אאוטלנדר,98500.0,1998.0,2015,1,76000,7,05/2024,0.0,0.0,2,0.0,0,19,רעננה,85900.0,93000.0,4,0,85000.0,0,ג'יפים
1080,62752184.0,טויוטה,לנד קרוזר ארוך,80000.0,2982.0,2006,1,665000,6,09/2023,0.0,9.0,17,0.0,0,19,משמרת,92400.0,80000.0,0,12,80000.0,0,ג'יפים
1082,55196191.0,קאדילק,XT4,215000.0,1997.0,2020,1,12500,7,07/2023,0.0,0.0,2,0.0,0,19,כפר סבא,208700.0,215000.0,31,297,173000.0,0,ג'יפים
