,ad_num,company,model,price,engine,year,hand,km,eng_kind,test,current_owner,prev_owner,צבע,gearbox,trader,area,sub_area
43,49356976,ב.מ.וו,סדרה,110000.0,1499.0,2018,2,73000,7,03/2024,0,1.0,לבן,0.0,0,2,תל אביב יפו
44,93448777,סיאט,לאון,65000.0,1395.0,2016,2,83000,7,06/2023,0,0.0,טורקיז,,0,2,מודיעין מכבים רעות
45,48532204,קיה,ספורטז',95000.0,1999.0,2017,2,45000,7,09/2023,0,0.0,שחור,0.0,0,2,ראשון לציון
46,91870843,ב.מ.וו,סדרה,65000.0,1598.0,2015,2,83000,7,03/2024,0,0.0,לבן,0.0,0,2,תל אביב יפו
47,75799264,אאודי,Q7,319000.0,2967.0,2019,1,80000,1,02/2024,0,0.0,אפור,0.0,0,2,מודיעין מכבים רעות
48,89657892,מרצדס,GLA,315000.0,1332.0,2022,1,16000,3,08/2023,0,0.0,אפור,0.0,0,2,אזור
49,99620718,מאזדה,CX-5,160000.0,1998.0,2019,1,33000,7,09/2023,0,0.0,אפור,0.0,0,2,ראשון לציון
50,84425122,טסלה,מודל,221600.0,,2022,1,13800,2,11/2024,0,0.0,לבן,0.0,0,2,רמת גן
51,63283386,מיצובישי,אאוטלנדר,104000.0,1998.0,2017,2,102000,7,09/2023,0,0.0,לבן,0.0,0,2,פתח תקווה
52,64429081,מיצובישי,אקליפס,102900.0,1499.0,2018,2,43000,7,08/2023,0,1.0,כסוף,0.0,0,2,תל אביב יפו
53,71854890,קיה,ספורטז',,1999.0,2019,1,31000,7,05/2023,0,1.0,כחול,0.0,0,2,פתח תקווה
54,71854890,קיה,ספורטז',,1999.0,2019,1,31000,7,05/2023,0,,כחול,0,0,2,פתח תקווה
55,56948350,הונדה,HR-V,105000.0,1498.0,2020,1,47000,7,07/2023,0,,שחור,0,0,2,תל אביב יפו
56,58627504,מיצובישי,אאוטלנדר,96000.0,1998.0,2016,2,120000,7,06/2023,0,1.0,שחור,0,0,2,חולון
57,65733583,יונדאי,סנטה,45900.0,2656.0,2009,2,290000,7,08/2023,0,0.0,אפור,0,0,2,בת ים
58,84644467,יונדאי,i25,34000.0,1591.0,2014,2,180000,7,01/2024,0,0.0,אפור,0,0,2,אור יהודה
59,73811682,ג'יפ,/,289000.0,1995.0,2021,2,29000,7,03/2024,0,0.0,לבן,0,0,2,רמת גן
60,97157764,מאזדה,6,75000.0,2488.0,2015,2,55000,7,11/2023,0,0.0,אפור,0,0,2,סביון
61,94225078,שברולט,טראוורס,137000.0,3564.0,2018,2,55000,7,05/2023,0,2.0,כסוף,0,0,2,בני ברק
62,85300117,סקודה,קודיאק,167000.0,1498.0,2021,2,20000,7,06/2023,0,9.0,כסוף,0,0,2,גני תקווה
63,81818337,אופל,קורסה,53000.0,1398.0,2018,2,75000,7,10/2023,0,0.0,שחור,0,0,2,גבעתיים
64,63230813,פורד,אקספלורר,138000.0,3497.0,2015,2,136000,7,09/2023,0,0.0,לבן,0,0,2,תל אביב יפו
65,52456166,קיה,ספורטז',88000.0,1999.0,2016,2,75000,7,06/2023,0,0.0,לבן,0,0,2,ראש העין
66,48352929,שברולט,סוברבן,247000.0,5328.0,2018,1,126000,7,03/2024,0,0.0,אפור,0,0,2,רמת גן
67,99727137,מאזדה,CX-5,128000.0,1998.0,2019,1,101500,7,06/2023,0,0.0,שחור,0,0,2,שוהם
68,48415579,סקייוול,ET5,179000.0,,2022,1,18000,2,07/2023,0,0.0,כחול,0,0,2,ראש העין
69,41073835,טויוטה,לנד,305000.0,2755.0,2021,1,30000,6,10/2024,0,0.0,לבן,0,0,2,כפר קאסם
70,88366993,מיצובישי,אאוטלנדר,98900.0,1998.0,2016,1,169500,7,09/2023,0,0.0,לבן,0,0,2,מודיעין מכבים רעות
71,76526233,יונדאי,טוסון,140000.0,1999.0,2020,2,50000,7,02/2024,0,0.0,לבן,0,0,2,רמלה
72,76526233,יונדאי,טוסון,140000.0,1999,2020,2,50000,7,02/2024,0,0,לבן,0,0,2,רמלה
73,87894344,קיה,ספורטז',99000.0,1591,2018,2,35000,7,09/2023,0,0,לבן,0,0,2,ראשון לציון
74,53319195,הונדה,CR-V,28000.0,1997,2008,4,200000,7,09/2023,0,0,כחול,0,0,2,ראש העין
75,96012443,מאזדה,CX-5,115000.0,1998,2019,1,109000,7,01/2024,0,0,כחול,0,0,2,כפר שמואל
76,56677048,אאודי,Q3,72000.0,1984,2013,3,119000,7,09/2023,0,0,שחור,0,0,2,תל אביב יפו
77,43161077,יונדאי,טוסון,102000.0,1999,2018,1,80000,7,04/2024,0,0,לבן,0,0,2,גבעתיים
78,76809280,אאודי,Q3,75000.0,1984,2014,3,160000,7,01/2024,0,0,שחור,0,0,2,ראשון לציון
79,75081669,אאודי,Q5,179000.0,1984,2017,1,107000,7,10/2023,0,0,שחור,0,0,2,תל אביב יפו
80,64059825,סקודה,קודיאק,170000.0,1498,2020,1,107000,7,02/2024,0,0,כסוף,0,0,2,בית חשמונאי
81,86502850,קאדילק,XT5,202000.0,3649,2019,1,56400,7,02/2024,0,0,ברונזה,0,0,2,רמת גן
82,51845787,לנד,רובר,,1997,2020,1,69000,3,12/2023,0,0,לבן,0,0,2,סביון
83,53121715,ג'יפ,/,445000.0,3604,2022,2,12500,7,05/2023,0,0,לבן,0,0,2,חולון
84,41622387,מיצובישי,ASX,111000.0,1998,2020,1,22000,7,08/2023,0,0,אפור,0,0,2,גבעתיים
85,59318165,ניסאן,קשקאי,57000.0,1197,2015,3,101000,7,04/2024,0,0,לבן,0,0,2,באר יעקב
86,52150527,סקודה,קארוק,109000.0,1598,2018,1,69300,6,11/2023,0,0,ירוק,0,0,2,מודיעין מכבים רעות
87,78919431,ב.מ.וו,X4,149000.0,1997,2015,4,82000,7,05/2024,0,0,לבן,0,0,2,יהוד מונוסון
88,71505629,ב.מ.וו,X6,,2998,2022,1,27000,7,02/2024,0,0,לבן,0,0,2,חולון
89,78948301,לנד,רובר,350000.0,1997,2021,1,34500,7,02/2024,0,0,לבן,0,0,2,רמת גן
90,57115311,מאזדה,CX-5,157000.0,1998.0,2022,1,20000,7,01/2024,0,,לבן,0,0,2,מודיעין מכבים רעות
91,46437769,שברולט,בלייזר,194000.0,3649.0,2019,2,88000,7,10/2023,0,0.0,שחור,0,0,2,תל אביב יפו
92,51465926,קיה,ספורטז',108000.0,1999.0,2019,1,75000,7,06/2023,0,0.0,שחור,0,0,2,ראשון לציון
93,76394100,טויוטה,לנד,335000.0,2755.0,2020,1,100000,6,01/2024,0,0.0,לבן,0,0,2,נחשונים
94,91769523,מרצדס,EQC,420000.0,,2022,1,26000,2,07/2023,0,0.0,לבן,0,0,2,רמת גן
95,81766908,יונדאי,טוסון,88000.0,1999.0,2016,2,63000,7,06/2023,0,0.0,לבן,0,0,2,פתח תקווה
96,44552881,קיה,ספורטז',89500.0,1999.0,2017,2,69500,7,04/2023,0,1.0,לבן,0,0,2,גבעת שמואל
97,43104668,ניסאן,קשקאי,65000.0,1197.0,2016,2,100000,7,03/2024,0,0.0,כחול,0,0,2,ראש העין
98,57777223,ב.מ.וו,X3,165000.0,1997.0,2017,1,78000,7,10/2023,0,0.0,לבן,0,0,2,תל אביב יפו
99,71351312,מיצובישי,אאוטלנדר,85000.0,1998.0,2017,2,74000,7,04/2024,0,0.0,לבן,0,0,2,תל אביב יפו
100,93199232,פיג'ו,2008,62500.0,1199.0,2017,2,61600,7,04/2024,0,0.0,בורדו,0,0,2,אור יהודה
101,95535702,מיצובישי,ASX,118000.0,1998.0,2021,1,17000,7,05/2024,0,0.0,כסוף,0,0,2,פתח תקווה
102,91935285,ניסאן,קשקאי,77000.0,1197.0,2016,3,112000,7,03/2024,0,0.0,לבן,0,0,2,ראשון לציון
103,87138726,אופל,גרנדלנד,125000.0,1499.0,2020,1,37800,6,03/2024,0,0.0,שחור,0,0,2,כפר הנגיד
104,55525100,אאודי,Q3,135000.0,1395.0,2019,2,57000,7,12/2023,0,0.0,לבן,0,0,2,תל אביב יפו
105,62145069,פורד,אקספלורר,,3497.0,2017,3,80000,7,02/2024,0,0.0,שחור,0,0,2,רמלה
106,63267603,פיג'ו,2008,145000.0,,2021,1,20400,2,02/2024,0,0.0,לבן,0,0,2,חולון
107,74658381,ב.מ.וו,X1,250000.0,1499.0,2021,1,8000,3,06/2023,0,0.0,שחור,0,0,2,חולון
108,78344762,מרצדס,G,600000.0,3982,2017,2,68000,7,,0,0,אפור,0,0,2,רמת גן
109,96374332,קיה,ספורטז',78000.0,1591,2016,1,77500,7,03/2024,0,0,ברונזה,0,0,2,תל אביב יפו
110,82252293,שברולט,טראקס,63000.0,1364,2017,2,78300,7,05/2023,0,0,שחור,0,0,2,ראש העין
111,92930234,סקודה,קודיאק,159000.0,1498,2019,1,40000,7,11/2023,0,0,שחור,0,0,2,יהוד מונוסון
112,87712435,לנד,רובר,555000.0,1997,2020,1,44000,3,01/2024,0,0,שחור,0,0,2,סביון
113,83639267,מזראטי,לבנטה,355000.0,2979,2018,2,47000,7,08/2023,0,0,כסף,0,0,2,תל אביב יפו
114,78429918,סקודה,קודיאק,160000.0,1984,2019,1,44500,7,10/2023,0,0,אפור,0,0,2,בני ברק
115,68363636,טויוטה,RAV4,110000.0,2494,2017,1,190000,7,10/2023,0,0,לבן,0,0,2,ראשון לציון
116,57803652,טויוטה,לנד,,2755,2016,1,141000,6,10/2023,0,0,אפור,0,0,2,ראשון לציון
117,85974124,מיצובישי,אאוטלנדר,89000.0,1998,2016,3,147000,7,11/2024,0,1,פלטינה,0,0,2,מודיעין מכבים רעות
118,76963139,מיצובישי,אקליפס,120000.0,1499,2020,1,75000,7,05/2023,0,1,אפור,0,0,2,חולון
119,41688420,ב.מ.וו,X5,40000.0,2979,2006,1,164000,7,11/2023,0,1,אפור,0,0,2,יהוד מונוסון
120,45960163,יונדאי,טוסון,125000.0,1999,2020,1,73000,7,05/2023,0,1,שחור,0,0,2,רמת גן
121,65743642,ניסאן,אקס,110000.0,1598,2017,1,99000,6,07/2023,0,1,אפור,0,0,2,פתח תקווה
122,74520680,אאודי,Q7,340000.0,2967,2019,1,53000,1,04/2024,0,1,שחור,0,0,2,תל אביב יפו
123,97405720,קיה,ספורטז',118000.0,1591,2019,1,99000,7,04/2024,0,1,לבן,0,0,2,פתח תקווה
124,86574428,סקודה,קודיאק,155000.0,1498,2020,1,67000,7,03/2024,0,1,אפור,0,0,2,קרית אונו
125,42075405,ג'יפ,/,139000.0,3604,2014,2,118000,7,03/2024,0,6,ברונזה,0,0,2,גבעתיים
126,42075405,ג'יפ,/,139000.0,3604.0,2014,2,118000,7,,0,6,ברונזה,0,0,2,גבעתיים
127,74361713,טויוטה,RAV4,227000.0,2487.0,2023,1,118000,7,05/2024,0,6,אפור,0,0,2,מודיעין מכבים רעות
128,45101482,שברולט,טראוורס,89000.0,3564.0,2016,1,111666,7,10/2023,3,6,כסף,0,0,2,ראשון לציון
129,58872721,ג'יפ,/,75000.0,6059.0,2007,4,252000,7,02/2024,0,0,כחול,0,0,2,ראש העין
130,75034523,טויוטה,לנד,195000.0,2982.0,2013,3,150000,6,06/2023,0,0,לבן,0,0,2,פתח תקווה
131,57446392,לקסוס,NX,155000.0,1998.0,2018,2,125000,7,04/2024,0,0,לבן,0,0,2,פתח תקווה
132,76786003,יונדאי,סנטה,85000.0,2359.0,2014,2,144000,7,04/2024,0,0,לבן,0,0,2,ראשון לציון
133,88624916,מיצובישי,אאוטלנדר,76000.0,1998.0,2016,3,140000,7,02/2024,0,0,לבן,0,0,2,קרית אונו
134,54433023,וולוו,XC90,18000.0,3192.0,2007,2,220000,7,08/2023,0,0,אפור,0,0,2,תל אביב יפו
135,81147720,מרצדס,GLC-Class,416000.0,1991.0,2021,2,30000,3,05/2024,0,0,לבן,0,0,2,באר יעקב
136,62587687,מרצדס,GLE,480000.0,2925.0,2020,1,46000,6,03/2024,0,0,שחור,0,0,2,בני ברק
137,86734925,דאצ'יה,דאסטר,43000.0,1461.0,2019,2,275000,6,01/2024,0,4,לבן,0,0,2,תל אביב יפו
138,49835361,ניסאן,אקס,137000.0,1332.0,2020,1,56000,7,01/2024,0,4,כסוף,0,0,2,ראש העין
139,73084575,פיג'ו,2008,93000.0,1199.0,2020,1,65000,7,08/2023,0,4,לבן,0,0,2,כפר קאסם
140,48687939,מיצובישי,ASX,122000.0,1998.0,2021,1,21500,7,02/2024,0,4,שחור,0,0,2,רמת גן
141,61726004,ג'נסיס,GV60,395770.0,,2022,2,9500,2,11/2023,0,1,שחור,0,0,2,ראשון לציון
142,74984047,ג'יפ,/,328000.0,3604.0,2021,1,26000,7,05/2024,0,1,לבן,0,0,2,כפר קאסם
143,71374260,מיצובישי,פג'רו,,3200.0,2015,1,250000,6,11/2023,0,1,לבן,0,0,2,רינתיה
144,71374260,מיצובישי,פג'רו,,3200.0,2015,1,250000,6,11/2023,0,,לבן,0,0,2,רינתיה
145,57768714,קיה,ספורטז',56000.0,1591.0,2015,1,135500,7,04/2024,0,,לבן,0,0,2,בני ברק
146,48752023,יונדאי,טוסון,139550.0,1999.0,2020,1,57243,7,05/2023,0,,לבן,0,0,2,גני תקווה
147,47726557,מאזדה,CX-30,125000.0,1998.0,2020,2,30000,7,02/2024,0,1.0,אפור,0,0,2,גבעתיים
148,58058139,הונדה,CR-V,150000.0,1498.0,2020,1,32000,7,01/2024,0,1.0,לבן,0,0,2,פתח תקווה
149,79661878,מיצובישי,פג'רו,35000.0,3200.0,2001,4,320000,6,10/2023,0,0.0,כסוף,0,0,2,כפר קאסם
150,76764819,ניסאן,קשקאי,32000.0,1997.0,2011,2,220000,7,10/2023,0,0.0,שחור,0,0,2,חולון
151,94921914,ג'יפ,/,345000.0,1995.0,2021,1,40000,7,02/2024,0,0.0,שחור,0,0,2,תל אביב יפו
152,69251678,מרצדס,GLC,190000.0,2143.0,2017,3,150000,6,02/2024,0,0.0,לבן,0,0,2,רמלה
153,82937586,יגואר,F-Pace,299000.0,1997.0,2020,1,37000,7,07/2023,0,0.0,לבן,0,0,2,רמת גן
154,99860629,יונדאי,טוסון,146000.0,1591.0,2020,1,48000,7,02/2024,0,0.0,אפור,0,0,2,תל אביב יפו
155,51163433,ג'יפ,/,290000.0,3604.0,2022,2,14000,7,09/2023,0,0.0,אפור,0,0,2,ראשון לציון
156,52346813,מרצדס,EQC,444000.0,,2022,1,15000,2,10/2023,0,0.0,שחור,0,0,2,חולון
157,95529872,קיה,ספורטז',25000.0,2656.0,2009,1,290000,7,12/2023,0,0.0,שחור,0,0,2,גאליה
158,95967901,מיצובישי,אאוטלנדר,170000.0,2488.0,2021,1,45000,7,07/2024,0,0.0,לבן,0,0,2,תל אביב יפו
159,94156966,טויוטה,RAV4,175000.0,2487.0,2019,1,43000,7,10/2023,0,0.0,לבן,0,0,2,רמת גן
160,86590023,טויוטה,RAV4,,2494.0,2017,2,75000,7,07/2023,0,0.0,לבן,0,0,2,תל אביב יפו
161,95141448,ג'יפ,/,215000.0,3604.0,2020,1,53400,7,06/2023,0,0.0,לבן,0,0,2,חולון
162,59084938,לנד,רובר,450000.0,1997,2021,1,41000,7,06/2023,0,,אפור,0,0,2,קרית אונו
163,91355366,פורשה,קאיין,320000.0,2995,2017,1,102000,3,06/2023,0,,שחור,0,0,2,פתח תקווה
164,46474126,טויוטה,לנד,97000.0,2982,2007,5,320000,6,05/2023,0,0.0,שחור,0,0,2,ראשון לציון
